X Read #,Y Read #,A1,A2,A3,A4,A5,A6
1,1,,,,,,
1,2,35,46,38,2675,2172,2809
1,3,35,33,41,2024,3044,3535
1,4,36,46,35,1524,1350,1716
1,5,,,,,,
2,1,23,37,44,883,469,831
2,2,35,51,81,2094,2547,1448
2,3,46,93,81,4189,4849,6447
2,4,48,34,82,3431,4258,4127
2,5,39,44,56,2098,2111,2128
3,1,28,32,39,1474,1160,684
3,2,43,69,55,2918,2840,5003
3,3,88,207,171,4796,5075,4366
3,4,53,100,101,3593,4219,2638
3,5,45,51,48,2606,1618,885
4,1,25,34,36,972,635,449
4,2,36,39,45,2393,2133,2151
4,3,101,64,52,3470,3483,1522
4,4,55,69,70,1605,2213,1365
4,5,40,73,41,889,598,624
5,1,,,,,,
5,2,46,41,27,1166,565,478
5,3,59,44,42,946,803,497
5,4,55,52,36,820,650,504
5,5,,,,,,

