X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,23,31,31,195,296,149,,,,,,,,,,,,
1,3,,,,,,,20,14,34,92,231,281,,,,,,,,,,,,
1,4,,,,,,,15,48,0,36,48,258,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,33,52,26,57,307,369,,,,,,,,,,,,
2,2,,,,,,,20,44,44,507,404,722,,,,,,,,,,,,
2,3,,,,,,,0,26,66,944,700,1551,,,,,,,,,,,,
2,4,,,,,,,21,34,30,107,109,84,,,,,,,,,,,,
2,5,,,,,,,34,35,36,91,24,105,,,,,,,,,,,,
3,1,,,,,,,29,32,35,194,381,757,,,,,,,,,,,,
3,2,,,,,,,20,67,78,314,606,668,,,,,,,,,,,,
3,3,,,,,,,14,42,44,556,640,1059,,,,,,,,,,,,
3,4,,,,,,,38,34,22,84,136,13,,,,,,,,,,,,
3,5,,,,,,,66,51,21,43,75,25,,,,,,,,,,,,
4,1,,,,,,,51,48,41,106,239,148,,,,,,,,,,,,
4,2,,,,,,,16,26,49,284,244,74,,,,,,,,,,,,
4,3,,,,,,,22,50,25,653,42,77,,,,,,,,,,,,
4,4,,,,,,,20,41,12,54,47,30,,,,,,,,,,,,
4,5,,,,,,,54,53,40,45,146,24,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,,,,,,,52,54,4,89,35,10,,,,,,,,,,,,
5,3,,,,,,,31,42,31,52,31,31,,,,,,,,,,,,
5,4,,,,,,,52,41,0,56,12,13,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,

