X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3655,374,5245,353,1643,463,6343,141,9478,30,641,5444,1933,1776,507,11,59,130,2,24,31,9,31,15
1,3,8084,472,7264,348,1638,812,7064,365,1842,177,796,3149,2990,1183,695,4,389,251,5,17,20,9,27,4
1,4,4502,368,8181,100,1914,384,9866,483,825,32,776,5426,6001,189,1136,4,2108,44,13,3,1,10,7,13
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,3027,147,1922,306,1103,446,4127,1192,2036,555,445,1866,1685,186,512,26,34,78,21,14,0,0,44,10
2,2,4786,430,4354,2901,622,509,2374,1583,13603,707,445,1151,1583,1430,4512,0,62,105,15,17,21,2,41,9
2,3,5479,934,5871,859,667,374,2974,1428,14047,125,462,1454,1932,3092,9879,10,563,145,9,21,2,3,41,8
2,4,3777,444,6529,125,659,346,3023,658,1670,20,593,3542,1173,1456,2706,13,2454,167,13,14,11,8,29,0
2,5,5930,322,7318,25,1101,351,6641,310,1257,112,539,6809,3882,155,2303,11,2148,40,0,3,0,6,30,5
3,1,3636,181,1949,265,975,258,3263,4605,1192,455,535,1534,1538,110,750,16,336,142,0,11,9,11,32,23
3,2,3277,449,2943,244,577,422,1525,1601,3277,656,250,965,1580,275,5454,51,262,82,7,9,12,20,40,0
3,3,3813,1058,5970,500,566,364,2234,747,14312,2407,490,1393,1729,3578,9036,27,988,262,11,16,1,0,93,21
3,4,3257,699,6945,431,724,250,2171,1720,6079,798,421,1363,1442,5786,7099,22,1911,113,1,2,13,0,109,18
3,5,5064,492,6742,169,1331,358,3009,2031,1122,282,811,2648,1375,3278,3307,0,2235,61,0,6,9,2,51,24
4,1,5932,401,5096,325,746,437,3805,951,758,81,564,2479,2377,116,3855,9,1388,140,5,16,5,16,38,5
4,2,3670,452,5776,655,847,383,6245,720,646,47,476,2028,2321,119,6538,3,3341,116,0,13,18,7,28,10
4,3,3004,569,6242,727,769,298,2883,172,4307,36,390,1893,1430,737,4641,11,5155,142,0,7,15,13,7,14
4,4,3718,546,6861,298,1213,303,7429,196,4263,245,731,3181,5001,4729,1962,13,4081,75,12,17,23,11,45,5
4,5,6058,692,7053,69,1225,544,6008,1496,1685,147,1202,7751,1805,4267,906,16,1655,41,16,17,8,18,168,12
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,7349,768,8207,347,1291,372,1773,88,729,30,443,1839,2091,111,1784,26,1515,38,3,4,3,18,32,13
5,3,6702,512,8415,217,1473,488,2202,65,514,27,614,1835,1114,111,419,13,4663,170,5,21,17,26,36,7
5,4,6152,650,8455,325,1143,482,2207,54,679,108,893,3183,1320,282,255,12,4661,93,12,6,18,16,8,3
5,5,,,,,,,,,,,,,,,,,,,,,,,,

