X Read #,Y Read #,A1,A2,A3,A4,A5,A6
1,1,,,,,,
1,2,24,20,35,127,158,366
1,3,31,40,57,98,142,162
1,4,48,64,42,121,193,421
1,5,,,,,,
2,1,22,28,22,159,144,200
2,2,33,39,26,535,220,235
2,3,38,41,40,146,327,536
2,4,45,91,90,226,517,2335
2,5,51,65,41,359,531,964
3,1,32,17,40,154,146,179
3,2,35,39,44,231,262,181
3,3,73,63,195,1794,2749,351
3,4,51,168,112,3381,3203,1063
3,5,77,93,46,1784,978,583
4,1,27,26,23,103,102,172
4,2,31,18,36,128,130,184
4,3,52,26,58,144,274,251
4,4,103,30,49,871,401,245
4,5,61,54,48,839,544,152
5,1,,,,,,
5,2,25,20,20,97,148,196
5,3,37,20,40,106,115,168
5,4,76,33,34,118,126,234
5,5,,,,,,

