X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,24,20,35,127,158,366,10,8,7,8,8,9,12,9,8,15,16,8,17,16,14,15,8,1
1,3,31,40,57,98,142,162,14,7,12,9,15,13,11,10,16,14,17,10,16,11,13,17,8,13
1,4,48,64,42,121,193,421,19,15,8,12,12,10,19,11,16,13,15,6,13,12,13,9,7,13
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,22,28,22,159,144,200,13,15,6,9,10,13,10,12,17,14,17,11,16,17,17,16,17,12
2,2,33,39,26,535,220,235,16,7,12,12,5,13,13,12,10,20,14,12,14,7,15,7,8,8
2,3,38,41,40,146,327,536,18,16,9,4,16,7,11,15,10,7,13,13,12,6,10,11,12,8
2,4,45,91,90,226,517,2335,10,16,13,12,16,10,2,10,14,13,19,9,11,16,9,11,12,11
2,5,51,65,41,359,531,964,2,17,10,7,16,6,12,14,12,7,5,15,15,13,8,10,13,5
3,1,32,17,40,154,146,179,16,14,16,10,9,10,11,10,12,12,2,8,17,9,7,12,11,9
3,2,35,39,44,231,262,181,9,18,1,12,5,15,11,10,8,15,4,10,14,10,20,13,14,9
3,3,73,63,195,1794,2749,351,2,15,8,8,3,9,17,12,5,7,13,6,16,17,10,9,11,15
3,4,51,168,112,3381,3203,1063,9,9,8,13,9,6,7,10,15,22,12,9,12,11,11,16,9,10
3,5,77,93,46,1784,978,583,23,10,12,10,18,8,13,14,6,12,8,9,14,10,14,14,14,7
4,1,27,26,23,103,102,172,16,2,12,9,5,12,14,14,7,10,13,13,15,13,5,10,11,23
4,2,31,18,36,128,130,184,17,18,15,20,14,6,15,11,27,2,7,21,11,22,9,17,15,9
4,3,52,26,58,144,274,251,25,13,6,11,15,9,11,13,15,5,13,14,13,15,12,9,24,14
4,4,103,30,49,871,401,245,16,0,5,17,6,13,14,12,11,8,9,11,24,15,18,11,19,11
4,5,61,54,48,839,544,152,10,13,11,8,5,17,10,12,10,12,9,8,19,19,9,13,16,16
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,25,20,20,97,148,196,7,16,14,17,12,6,17,6,12,4,14,4,11,15,10,16,14,16
5,3,37,20,40,106,115,168,7,19,9,6,15,7,13,11,6,9,9,9,7,16,15,14,9,13
5,4,76,33,34,118,126,234,18,8,0,9,9,17,17,18,11,11,7,13,9,9,11,12,15,10
5,5,,,,,,,,,,,,,,,,,,,,,,,,

